"","RMSE","MSE","MAE"
"1",1.17038227760132,1.36979467572326,0.901410413550804
"2",1.1430557935254,1.30657654711199,0.885840469369784
"3",1.16008730503417,1.34580255530145,0.899568205189878
"4",1.15493840877407,1.33388272806157,0.895097675200435
"5",1.17746870845714,1.38643255939572,0.905816581789901
"6",1.19639814057786,1.43136851077817,0.926317784813971
"7",1.16832817995535,1.36499073607777,0.905086265710918
"8",1.17727153063122,1.38596825683477,0.912646687303906
"9",1.18708670502714,1.40917484525218,0.915840224784114
"10",1.15836655876987,1.34181308447634,0.894107639747965
